time,BTC Close,ETH Close,ADA Close,USDT Close,XRP Close,LTC Close,TRX Close,TUSD Close,DGB Close,BSV Close
2019-03-20 00:00:00+00:00,4036.183,138.856,0.054,0.996,0.317,60.136,0.023,0.999,0.014,66.113
2019-03-21 00:00:00+00:00,3975.867,134.669,0.054,0.997,0.309,58.522,0.022,0.999,0.013,64.811
2019-03-22 00:00:00+00:00,3982.0,135.941,0.057,0.996,0.31,59.241,0.023,1.002,0.013,66.619
2019-03-23 00:00:00+00:00,3985.089,136.26,0.064,0.995,0.31,60.68,0.024,1.001,0.013,66.562
2019-03-24 00:00:00+00:00,3968.389,135.538,0.062,0.998,0.306,59.527,0.023,1.001,0.013,65.662
2019-03-25 00:00:00+00:00,3909.999,133.136,0.059,0.994,0.3,58.75,0.023,0.999,0.012,63.588
2019-03-26 00:00:00+00:00,3917.974,132.92,0.062,0.996,0.3,58.3,0.022,0.998,0.012,63.184
2019-03-27 00:00:00+00:00,4028.013,139.45,0.067,0.997,0.31,61.4,0.023,1.001,0.012,65.077
2019-03-28 00:00:00+00:00,4012.891,137.364,0.066,0.996,0.305,60.201,0.023,0.999,0.013,63.72
2019-03-29 00:00:00+00:00,4090.0,142.771,0.071,0.997,0.307,61.137,0.024,1.001,0.013,64.586
2019-03-30 00:00:00+00:00,4094.444,142.231,0.073,0.999,0.31,60.347,0.023,1.001,0.013,64.301
2019-03-31 00:00:00+00:00,4090.204,141.296,0.07,0.998,0.308,60.42,0.024,1.001,0.012,64.775
2019-04-01 00:00:00+00:00,4138.7,141.298,0.071,0.998,0.313,60.362,0.025,1.001,0.013,65.407
2019-04-02 00:00:00+00:00,4903.79,165.03,0.086,1.011,0.354,77.4,0.027,1.003,0.014,80.0
2019-04-03 00:00:00+00:00,4970.639,160.954,0.091,1.003,0.343,85.201,0.026,1.002,0.014,86.037
2019-04-04 00:00:00+00:00,4905.178,157.348,0.088,1.002,0.33,84.731,0.025,0.999,0.015,82.198
2019-04-05 00:00:00+00:00,5037.49,165.853,0.091,1.003,0.363,88.622,0.028,0.999,0.015,84.284
2019-04-06 00:00:00+00:00,5036.716,165.835,0.091,1.001,0.352,92.605,0.027,1.0,0.015,84.441
2019-04-07 00:00:00+00:00,5191.518,174.889,0.09,1.007,0.363,90.908,0.029,1.001,0.015,86.0
2019-04-08 00:00:00+00:00,5285.0,180.9,0.086,1.011,0.358,89.207,0.03,0.999,0.015,83.052
2019-04-09 00:00:00+00:00,5192.931,175.9,0.083,1.008,0.349,86.84,0.03,1.0,0.014,78.76
2019-04-10 00:00:00+00:00,5324.67,177.478,0.089,1.002,0.355,88.206,0.031,1.001,0.014,79.836
2019-04-11 00:00:00+00:00,5051.436,165.12,0.083,1.003,0.328,79.5,0.027,1.001,0.013,71.374
2019-04-12 00:00:00+00:00,5081.666,164.394,0.084,1.004,0.325,79.169,0.027,0.999,0.014,71.378
2019-04-13 00:00:00+00:00,5076.094,164.121,0.083,1.005,0.327,78.029,0.027,1.001,0.013,70.076
2019-04-14 00:00:00+00:00,5163.46,168.414,0.085,1.005,0.329,83.5,0.027,0.999,0.014,71.255
2019-04-15 00:00:00+00:00,5039.002,160.268,0.082,1.0,0.319,78.478,0.027,1.001,0.013,58.501
2019-04-16 00:00:00+00:00,5206.103,166.409,0.083,1.005,0.326,81.0,0.027,1.001,0.014,56.94
